Species,State
Oedipina_quadra,0
Nototriton_lignicola,0
Nototriton_limnospectator,0
Nototriton_barbouri,0
Nototriton_brodiei,0
Nototriton_richardi,0
Nototriton_picadoi,0
Nototriton_abscondens,0
Nototriton_gamezi,0
Nototriton_guanacaste,0
Stereochilus_marginatus,0
Pseudotriton_montanus,0
Pseudotriton_ruber,0
Gyrinophilus_porphyriticus,0
Gyrinophilus_palleucus,0
Gyrinophilus_gulolineatus,0
Urspelerpes_brucei,0
Haideotriton_wallacei,0
Eurycea_longicauda,0
Eurycea_lucifuga,0
Eurycea_cirrigera,1
Eurycea_wilderae,1
Eurycea_bislineata,0
Eurycea_aquatica,0
Eurycea_junaluska,0
Eurycea_rathbuni,0
Eurycea_waterlooensis,0
Eurycea_troglodytes,0
Eurycea_sosorum,0
Eurycea_neotenes,1
Eurycea_latitans,0
Eurycea_tridentifera,1
Eurycea_pterophila,0
Eurycea_nana,0
Eurycea_naufragia,0
Eurycea_chisholmensis,0
Eurycea_tonkawae,0
Eurycea_quadridigitata,0
Eurycea_multiplicata,0
Eurycea_tynerensis,0
Eurycea_spelaea,0
Plethodon_larselli,0
Plethodon_idahoensis,0
Plethodon_vandykei,0
Plethodon_dunni,0
Plethodon_vehiculum,0
Plethodon_asupak,0
Plethodon_elongatus,0
Plethodon_stormi,0
Plethodon_neomexicanus,0
Plethodon_websteri,0
Plethodon_wehrlei,0
Plethodon_punctatus,0
Plethodon_ventralis,0
Plethodon_dorsalis,0
Plethodon_angusticlavius,0
Plethodon_welleri,0
Plethodon_petraeus,1
Plethodon_cheoah,1
Plethodon_aureolus,1
Plethodon_teyahalee,1
Plethodon_cylindraceus,1
Plethodon_glutinosus,1
Plethodon_chattahoochee,1
Plethodon_variolatus,0
Plethodon_chlorobryonis,1
Plethodon_meridianus,0
Plethodon_amplus,0
Plethodon_montanus,1
Plethodon_metcalfi,1
Plethodon_kentucki,1
Plethodon_shermani,1
Plethodon_kiamichi,0
Plethodon_mississippi,0
Plethodon_kisatchie,0
Plethodon_grobmani,0
Plethodon_savannah,0
Plethodon_ocmulgee,0
Plethodon_albagula,0
Plethodon_sequoyah,0
Plethodon_yonahlossee,1
Plethodon_jordani,1
Plethodon_caddoensis,0
Plethodon_fourchensis,0
Plethodon_ouachitae,0
Plethodon_serratus,0
Plethodon_virginia,0
Plethodon_cinereus,0
Plethodon_shenandoah,0
Plethodon_richmondi,0
Plethodon_electromorphus,0
Plethodon_hubrichti,0
Plethodon_nettingi,0
Plethodon_hoffmani,0
Hydromantes_genei,0
Hydromantes_strinatii,0
Hydromantes_ambrosii,1
Hydromantes_italicus,1
Hydromantes_imperialis,0
Hydromantes_supramontis,0
Hydromantes_flavus,0
Hydromantes_shastae,0
Hydromantes_platycephalus,0
Hydromantes_brunus,0
Karsenia_koreana,0
Desmognathus_wrighti,0
Desmognathus_carolinensis,1
Desmognathus_monticola,0
Desmognathus_brimleyorum,0
Desmognathus_santeetlah,1
Desmognathus_conanti,1
Desmognathus_apalachicolae,0
Desmognathus_ocoee,0
Desmognathus_orestes,1
Desmognathus_ochrophaeus,1
Desmognathus_planiceps,0
Desmognathus_welteri,0
Desmognathus_auriculatus,0
Desmognathus_fuscus,1
Desmognathus_imitator,0
Desmognathus_aeneus,0
Desmognathus_marmoratus,0
Desmognathus_quadramaculatus,0
Desmognathus_folkertsi,0
Phaeognathus_hubrichti,0
Aneides_hardii,0
Aneides_lugubris,0
Aneides_flavipunctatus,0
Aneides_ferreus,1
Aneides_vagrans,1
Aneides_aeneus,0
Ensatina_eschscholtzii,0
Amphiuma_tridactylum,1
Amphiuma_means,1
Amphiuma_pholeter,0
Proteus_anguinus,0
Necturus_lewisi,0
Necturus_beyeri,0
Necturus_maculosus,0
Necturus_alabamensis,0
Necturus_punctatus,0
